chapter_no,section_no,chapter_title,section_title,primary_verdict,textbook_verification,source_modules,first_pass_report,cross_review_report
4,4.3,Divide-and-Conquer,The substitution method for solving recurrences,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_3_Substitution_Method,chapters-01-13.md,cross-review-01-13.md
4,4.4,Divide-and-Conquer,The recursion-tree method for solving recurrences,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_4_Recursion_Tree_Method;CLRSLean.FourthEdition.Chapter_04.Section_04_4_Recursion_Tree_Method.Branching.IntegerTree,chapters-01-13.md,cross-review-01-13.md
4,4.5,Divide-and-Conquer,The master method for solving recurrences,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_5_Master_Theorem,chapters-01-13.md,cross-review-01-13.md
4,4.6,Divide-and-Conquer,Proof of the continuous master theorem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_6_Continuous_Master_Theorem,chapters-01-13.md,cross-review-01-13.md
4,4.7,Divide-and-Conquer,Akra–Bazzi recurrences,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_7_Akra_Bazzi,chapters-01-13.md,cross-review-01-13.md
5,5.1,Probabilistic Analysis and Randomized Algorithms,The hiring problem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_05.Section_05_1_Hiring_Problem,chapters-01-13.md,cross-review-01-13.md
5,5.2,Probabilistic Analysis and Randomized Algorithms,Indicator random variables,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_05.Section_05_2_Indicator_Random_Variables;CLRSLean.FourthEdition.Chapter_05.Section_05_2_Indicator_Expectation,chapters-01-13.md,cross-review-01-13.md
5,5.3,Probabilistic Analysis and Randomized Algorithms,Randomized algorithms,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_05.Section_05_3_Randomized_Algorithms;CLRSLean.FourthEdition.Chapter_05.Section_05_3_Randomized_Hiring;CLRSLean.FourthEdition.Chapter_05.Section_05_3_Randomized_Hiring.ExpectationBridge,chapters-01-13.md,cross-review-01-13.md
5,5.4,Probabilistic Analysis and Randomized Algorithms,Probabilistic analysis and further uses of indicator random variables,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_05.Section_05_4_Probabilistic_Analysis,chapters-01-13.md,cross-review-01-13.md
6,6.1,Heapsort,Heaps,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_06.Section_06_1_Heaps,chapters-01-13.md,cross-review-01-13.md
6,6.2,Heapsort,Maintaining the heap property,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_06.Section_06_2_Maintaining_Heap_Property,chapters-01-13.md,cross-review-01-13.md
6,6.3,Heapsort,Building a heap,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_06.Section_06_3_Building_A_Heap,chapters-01-13.md,cross-review-01-13.md
6,6.4,Heapsort,The heapsort algorithm,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_06.Section_06_4_Heapsort;CLRSLean.FourthEdition.Chapter_06.Section_06_4_Heapsort.CostedExecution,chapters-01-13.md,cross-review-01-13.md
6,6.5,Heapsort,Priority queues,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_06.Section_06_5_Priority_Queues;CLRSLean.FourthEdition.Chapter_06.Section_06_5_Priority_Queues.Insert,chapters-01-13.md,cross-review-01-13.md
7,7.1,Quicksort,Description of quicksort,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_07.Section_07_1_Description_Of_Quicksort,chapters-01-13.md,cross-review-01-13.md
7,7.2,Quicksort,Performance of quicksort,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_07.Section_07_2_Performance_Of_Quicksort,chapters-01-13.md,cross-review-01-13.md
7,7.3,Quicksort,A randomized version of quicksort,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_07.Section_07_3_Randomized_Quicksort;CLRSLean.FourthEdition.Chapter_07.Section_07_3_Randomized_Quicksort.ExplicitRandomness.OperationalBridge,chapters-01-13.md,cross-review-01-13.md
7,7.4,Quicksort,Analysis of quicksort,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_07.Section_07_4_Analysis_Of_Quicksort,chapters-01-13.md,cross-review-01-13.md
8,8.1,Sorting in Linear Time,Lower bounds for sorting,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_08.Section_08_1_Lower_Bound_For_Sorting,chapters-01-13.md,cross-review-01-13.md
8,8.2,Sorting in Linear Time,Counting sort,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_08.Section_08_2_Counting_Sort;CLRSLean.FourthEdition.Chapter_08.Section_08_2_Counting_Sort.CountTables;CLRSLean.FourthEdition.Chapter_08.Section_08_2_Counting_Sort.MutableOutputArray,chapters-01-13.md,cross-review-01-13.md
8,8.3,Sorting in Linear Time,Radix sort,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_08.Section_08_3_Radix_Sort,chapters-01-13.md,cross-review-01-13.md
8,8.4,Sorting in Linear Time,Bucket sort,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_08.Section_08_4_Bucket_Sort,chapters-01-13.md,cross-review-01-13.md
9,9.1,Medians and Order Statistics,Minimum and maximum,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_09.Section_09_1_Minimum_And_Maximum,chapters-01-13.md,cross-review-01-13.md
9,9.2,Medians and Order Statistics,Selection in expected linear time,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_09.Section_09_2_Selection_In_Expected_Linear_Time,chapters-01-13.md,cross-review-01-13.md
9,9.3,Medians and Order Statistics,Selection in worst-case linear time,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_09.Section_09_3_Selection_In_Worst_Case_Linear_Time,chapters-01-13.md,cross-review-01-13.md
10,10.1,Elementary Data Structures,Simple array-based data structures,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_10.Section_10_1_Simple_Array_Based_Data_Structures,chapters-01-13.md,cross-review-01-13.md
10,10.2,Elementary Data Structures,Linked lists,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_10.Section_10_2_Linked_Lists,chapters-01-13.md,cross-review-01-13.md
10,10.3,Elementary Data Structures,Representing rooted trees,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_10.Section_10_3_Representing_Rooted_Trees,chapters-01-13.md,cross-review-01-13.md
11,11.1,Hash Tables,Direct-address tables,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_11.Section_11_1_Direct_Address_Tables,chapters-01-13.md,cross-review-01-13.md
11,11.2,Hash Tables,Hash tables,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_11.Section_11_2_Chained_Hash_Tables,chapters-01-13.md,cross-review-01-13.md
11,11.3,Hash Tables,Hash functions,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_11.Section_11_3_Hash_Functions,chapters-01-13.md,cross-review-01-13.md
11,11.4,Hash Tables,Open addressing,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_11.Section_11_4_Open_Addressing,chapters-01-13.md,cross-review-01-13.md
11,11.5,Hash Tables,Practical considerations,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_11.Section_11_5_Perfect_Hashing,chapters-01-13.md,cross-review-01-13.md
12,12.1,Binary Search Trees,What is a binary search tree?,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_12.Section_12_1_Binary_Search_Trees,chapters-01-13.md,cross-review-01-13.md
12,12.2,Binary Search Trees,Querying a binary search tree,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_12.Section_12_1_Binary_Search_Trees,chapters-01-13.md,cross-review-01-13.md
12,12.3,Binary Search Trees,Insertion and deletion,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_12.Section_12_1_Binary_Search_Trees,chapters-01-13.md,cross-review-01-13.md
13,13.1,Red-Black Trees,Properties of red-black trees,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_13.Section_13_1_Red_Black_Trees,chapters-01-13.md,cross-review-01-13.md
13,13.2,Red-Black Trees,Rotations,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_13.Section_13_2_Rotations,chapters-01-13.md,cross-review-01-13.md
13,13.3,Red-Black Trees,Insertion,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_13.Section_13_3_Insertion,chapters-01-13.md,cross-review-01-13.md
13,13.4,Red-Black Trees,Deletion,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_13.Section_13_4_Deletion,chapters-01-13.md,cross-review-01-13.md
14,14.1,Dynamic Programming,Rod cutting,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_14.Section_14_1_Rod_Cutting,chapters-14-27.md,cross-review-14-27.md
14,14.2,Dynamic Programming,Matrix-chain multiplication,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_14.Section_14_2_Matrix_Chain_Multiplication,chapters-14-27.md,cross-review-14-27.md
14,14.3,Dynamic Programming,Elements of dynamic programming,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_14.Section_14_3_Elements_Of_Dynamic_Programming,chapters-14-27.md,cross-review-14-27.md
14,14.4,Dynamic Programming,Longest common subsequence,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_14.Section_14_4_Longest_Common_Subsequence,chapters-14-27.md,cross-review-14-27.md
14,14.5,Dynamic Programming,Optimal binary search trees,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_14.Section_14_5_Optimal_Binary_Search_Trees,chapters-14-27.md,cross-review-14-27.md
15,15.1,Greedy Algorithms,An activity-selection problem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_15.Section_15_1_Activity_Selection;CLRSLean.FourthEdition.Chapter_15.Section_15_1_Activity_Selection.TextbookModel;CLRSLean.FourthEdition.Chapter_15.Section_15_1_Activity_Selection.Iterative,chapters-14-27.md,cross-review-14-27.md
15,15.2,Greedy Algorithms,Elements of the greedy strategy,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_15.Section_15_2_Greedy_Meta;CLRSLean.FourthEdition.Chapter_15.Section_15_2_Greedy_Meta.ActivitySelection,chapters-14-27.md,cross-review-14-27.md
15,15.3,Greedy Algorithms,Huffman codes,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_15.Section_15_3_Huffman_Codes;CLRSLean.FourthEdition.Chapter_15.Section_15_3_Huffman_Codes.TextbookCost;CLRSLean.FourthEdition.Chapter_15.Section_15_3_Huffman_Codes.TextbookLemmas;CLRSLean.FourthEdition.Chapter_15.Section_15_3_Huffman_Codes.Complexity;CLRSLean.FourthEdition.Chapter_15.Section_15_3_Huffman_Codes.HeapExecution,chapters-14-27.md,cross-review-14-27.md
15,15.4,Greedy Algorithms,Offline caching,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_15.Section_15_4_Offline_Caching;CLRSLean.FourthEdition.Chapter_15.Section_15_4_Offline_Caching.S1_Cache_Model;CLRSLean.FourthEdition.Chapter_15.Section_15_4_Offline_Caching.S2_Farthest_In_Future;CLRSLean.FourthEdition.Chapter_15.Section_15_4_Offline_Caching.S3_Optimality;CLRSLean.FourthEdition.Chapter_15.Section_15_4_Offline_Caching.EmptyStart,chapters-14-27.md,cross-review-14-27.md
16,16.1,Amortized Analysis,Aggregate analysis,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_16.Section_16_1_Amortized_Framework,chapters-14-27.md,cross-review-14-27.md
16,16.2,Amortized Analysis,The accounting method,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_16.Section_16_1_Amortized_Framework.Section_16_2_Stack_And_Counter,chapters-14-27.md,cross-review-14-27.md
16,16.3,Amortized Analysis,The potential method,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_16.Section_16_1_Amortized_Framework,chapters-14-27.md,cross-review-14-27.md
16,16.4,Amortized Analysis,Dynamic tables,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_16.Section_16_4_Dynamic_Tables,chapters-14-27.md,cross-review-14-27.md
17,17.1,Augmenting Data Structures,Dynamic order statistics,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_17.Section_17_1_Dynamic_Order_Statistics,chapters-14-27.md,cross-review-14-27.md
17,17.2,Augmenting Data Structures,How to augment a data structure,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_17.Section_17_2_Augmenting_Data_Structures,chapters-14-27.md,cross-review-14-27.md
17,17.3,Augmenting Data Structures,Interval trees,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_17.Section_17_3_Interval_Trees,chapters-14-27.md,cross-review-14-27.md
18,18.1,B-Trees,Definition of B-trees,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_18.Section_18_1_B_Tree_Model;CLRSLean.FourthEdition.Chapter_18.Section_18_1_B_Tree_Model.Search;CLRSLean.FourthEdition.Chapter_18.Section_18_1_B_Tree_Model.HeightBound;CLRSLean.FourthEdition.Chapter_18.Section_18_1_B_Tree_Model.RunningTime,chapters-14-27.md,cross-review-14-27.md
18,18.2,B-Trees,Basic operations on B-trees,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_18.Section_18_2_B_Tree_Insertion,chapters-14-27.md,cross-review-14-27.md
18,18.3,B-Trees,Deleting a key from a B-tree,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.ChildBounded;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.ComposedPreservation;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Exact;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.ExactReassembly;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Invariant;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.KeyMultiset;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.MergeReassembly;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Occupancy;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Preservation;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Reassembly;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Repair;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Rotation;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.RotationBounds;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.RotationReassembly;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.SameDepthHeight;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Sorted;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.Subset;CLRSLean.FourthEdition.Chapter_18.Section_18_3_B_Tree_Deletion.WellFormed,chapters-14-27.md,cross-review-14-27.md
19,19.1,Data Structures for Disjoint Sets,Disjoint-set operations,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_19.Section_19_1_Disjoint_Set_Operations,chapters-14-27.md,cross-review-14-27.md
19,19.2,Data Structures for Disjoint Sets,Linked-list representation of disjoint sets,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_19.Section_19_2_Linked_List_Representation,chapters-14-27.md,cross-review-14-27.md
19,19.3,Data Structures for Disjoint Sets,Disjoint-set forests,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_19.Section_19_3_Disjoint_Set_Forests,chapters-14-27.md,cross-review-14-27.md
19,19.4,Data Structures for Disjoint Sets,Analysis of union by rank with path compression,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_19.Section_19_4_Analysis,chapters-14-27.md,cross-review-14-27.md
20,20.1,Elementary Graph Algorithms,Representations of graphs,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_20.Section_20_1_Representing_Graphs,chapters-14-27.md,cross-review-14-27.md
20,20.2,Elementary Graph Algorithms,Breadth-first search,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_20.Section_20_2_BFS,chapters-14-27.md,cross-review-14-27.md
20,20.3,Elementary Graph Algorithms,Depth-first search,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_20.Section_20_3_DFS,chapters-14-27.md,cross-review-14-27.md
20,20.4,Elementary Graph Algorithms,Topological sort,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_20.Section_20_4_Topological_Sort,chapters-14-27.md,cross-review-14-27.md
20,20.5,Elementary Graph Algorithms,Strongly connected components,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_20.Section_20_5_Strongly_Connected_Components,chapters-14-27.md,cross-review-14-27.md
21,21.1,Minimum Spanning Trees,Growing a minimum spanning tree,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_21.Section_21_1_Growing_Minimum_Spanning_Trees,chapters-14-27.md,cross-review-14-27.md
21,21.2,Minimum Spanning Trees,The algorithms of Kruskal and Prim,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_21.Section_21_2_Kruskal_And_Prim,chapters-14-27.md,cross-review-14-27.md
22,22.1,Single-Source Shortest Paths,The Bellman–Ford algorithm,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_22.Section_22_1_Bellman_Ford,chapters-14-27.md,cross-review-14-27.md
22,22.2,Single-Source Shortest Paths,Single-source shortest paths in directed acyclic graphs,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_22.Section_22_2_SSSP_In_DAGs,chapters-14-27.md,cross-review-14-27.md
22,22.3,Single-Source Shortest Paths,Dijkstra’s algorithm,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_22.Section_22_3_Dijkstra,chapters-14-27.md,cross-review-14-27.md
22,22.4,Single-Source Shortest Paths,Difference constraints and shortest paths,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_22.Section_22_4_Difference_Constraints,chapters-14-27.md,cross-review-14-27.md
22,22.5,Single-Source Shortest Paths,Proofs of shortest-paths properties,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_22.Section_22_5_Shortest_Path_Properties,chapters-14-27.md,cross-review-14-27.md
23,23.1,All-Pairs Shortest Paths,Shortest paths and matrix multiplication,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_23.Section_23_1_All_Pairs_Model,chapters-14-27.md,cross-review-14-27.md
23,23.2,All-Pairs Shortest Paths,The Floyd–Warshall algorithm,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_23.Section_23_2_Floyd_Warshall,chapters-14-27.md,cross-review-14-27.md
23,23.3,All-Pairs Shortest Paths,Johnson’s algorithm for sparse graphs,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_23.Section_23_3_Johnsons_Algorithm,chapters-14-27.md,cross-review-14-27.md
24,24.1,Maximum Flow,Flow networks,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_24.Section_24_1_Flow_Networks,chapters-14-27.md,cross-review-14-27.md
24,24.2,Maximum Flow,The Ford–Fulkerson method,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_24.Section_24_2_Edmonds_Karp;CLRSLean.FourthEdition.Chapter_24.Section_24_6_MaxFlow_MinCut,chapters-14-27.md,cross-review-14-27.md
24,24.3,Maximum Flow,Maximum bipartite matching,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_24.Section_24_3_Bipartite_Matching,chapters-14-27.md,cross-review-14-27.md
24,24.4,Maximum Flow,Push-relabel algorithms,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_24.Section_24_4_Push_Relabel,chapters-14-27.md,cross-review-14-27.md
24,24.5,Maximum Flow,Relabel-to-front,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_24.Section_24_5_Relabel_To_Front,chapters-14-27.md,cross-review-14-27.md
25,25.1,Matchings in Bipartite Graphs,Maximum bipartite matching revisited,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.S1_Matching_API;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.S2_Alternating_Paths;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.S3_Simple_Paths;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.S4_Matching_Flow;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.S5_Residual_Translation;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.S6_Berge_Flow_Method;CLRSLean.FourthEdition.Chapter_25.Section_25_1_Maximum_Bipartite_Matching.FlowExecution,chapters-14-27.md,cross-review-14-27.md
